# Chromosome: chr22, Resolution: 500000bp
# Generated: 2026-08-26 10:20:51
bin	start	end	x	y	z
0	0	500000	-1.136373	-0.592110	-4.563836
1	500000	1000000	-1.458017	-0.251940	-4.426446
2	1000000	1500000	-1.798397	0.104715	-4.188190
3	1500000	2000000	-2.031009	0.474874	-3.958259
4	2000000	2500000	-2.327350	1.171290	-3.713979
5	2500000	3000000	-2.415654	1.823240	-3.533976
6	3000000	3500000	-2.280314	2.346589	-3.402006
7	3500000	4000000	-1.922802	2.733600	-3.329917
8	4000000	4500000	-1.349882	2.954865	-3.363392
9	4500000	5000000	-0.611484	2.945300	-3.560993
10	5000000	5500000	0.136783	2.687123	-3.845220
11	5500000	6000000	0.770083	2.200612	-4.088199
12	6000000	6500000	1.280505	1.562394	-4.230066
13	6500000	7000000	1.705147	0.818439	-4.265851
14	7000000	7500000	2.021669	-0.016297	-4.193577
15	7500000	8000000	2.169642	-0.888195	-4.031518
16	8000000	8500000	2.127344	-1.701368	-3.827320
17	8500000	9000000	1.928371	-2.407002	-3.593720
18	9000000	9500000	1.596128	-3.025935	-3.282813
19	9500000	10000000	1.101523	-3.536701	-2.869438
20	10000000	10500000	0.439789	-3.875650	-2.547167
21	10500000	11000000	-0.310768	-3.992409	-2.413350
22	11000000	11500000	-1.032069	-3.883535	-2.391259
23	11500000	12000000	-1.687903	-3.595997	-2.420242
24	12000000	12500000	-2.298224	-3.155754	-2.411623
25	12500000	13000000	-2.886716	-2.542826	-2.369226
26	13000000	13500000	-3.404348	-1.904771	-2.340791
27	13500000	14000000	-3.816003	-1.466257	-2.192465
28	14000000	14500000	-4.095731	-1.303979	-1.852300
29	14500000	15000000	-4.236673	-1.338258	-1.335135
30	15000000	15500000	-4.195716	-1.362902	-0.641973
31	15500000	16000000	-3.871356	-1.306992	0.004963
32	16000000	16500000	-3.408000	-1.272164	0.471548
33	16500000	17000000	-3.185225	-1.070289	0.818474
34	17000000	17500000	-3.035513	-0.678670	1.049446
35	17500000	18000000	-2.618049	-0.204444	1.223196
36	18000000	18500000	-2.220837	0.374824	1.212314
37	18500000	19000000	-1.997117	0.985620	1.030986
38	19000000	19500000	-1.760165	1.374325	0.901622
39	19500000	20000000	-1.835378	1.845707	0.752839
40	20000000	20500000	-1.299635	2.078078	0.633166
41	20500000	21000000	-0.693326	2.325287	0.537130
42	21000000	21500000	-0.487757	2.727448	0.402600
43	21500000	22000000	-0.380329	3.029886	0.423518
44	22000000	22500000	-0.230682	3.239718	0.494153
45	22500000	23000000	-0.308620	3.318588	0.587322
46	23000000	23500000	-0.211317	3.057143	0.884995
47	23500000	24000000	-0.436513	2.832551	1.191428
48	24000000	24500000	-0.621832	2.479705	1.468587
49	24500000	25000000	-0.724232	2.037477	1.816092
50	25000000	25500000	-0.806740	1.635654	2.031614
51	25500000	26000000	-0.932171	1.073894	2.264466
52	26000000	26500000	-1.047091	0.684688	2.471590
53	26500000	27000000	-1.096372	0.472952	2.626523
54	27000000	27500000	-1.080394	0.360134	2.743003
55	27500000	28000000	-0.971922	0.547456	2.817019
56	28000000	28500000	-0.755470	0.698096	2.729390
57	28500000	29000000	-0.536681	0.907099	2.725623
58	29000000	29500000	-0.190395	1.169745	2.692654
59	29500000	30000000	0.177917	1.421842	2.561761
60	30000000	30500000	0.493560	1.574929	2.442341
61	30500000	31000000	0.703179	1.553621	2.368334
62	31000000	31500000	0.760516	1.168999	2.373411
63	31500000	32000000	0.768958	0.843081	2.549797
64	32000000	32500000	0.789059	0.512658	2.622257
65	32500000	33000000	0.670237	0.118107	2.705004
66	33000000	33500000	0.510092	-0.274392	2.831294
67	33500000	34000000	0.551758	-0.436619	2.797905
68	34000000	34500000	0.851078	-0.450036	2.834060
69	34500000	35000000	1.111489	-0.276377	2.679213
70	35000000	35500000	1.366141	-0.157704	2.455949
71	35500000	36000000	1.625652	0.037961	2.229162
72	36000000	36500000	1.928823	0.439141	1.911953
73	36500000	37000000	2.372135	0.826891	1.545569
74	37000000	37500000	2.770085	0.934197	1.155646
75	37500000	38000000	2.830410	1.110037	0.733038
76	38000000	38500000	3.007028	1.239978	0.403821
77	38500000	39000000	3.094977	1.393394	0.097021
78	39000000	39500000	3.232736	1.248053	-0.106098
79	39500000	40000000	3.337922	1.114430	-0.188345
80	40000000	40500000	3.290560	0.928574	-0.231667
81	40500000	41000000	3.193966	0.883472	-0.301588
82	41000000	41500000	3.077985	0.717005	-0.269399
83	41500000	42000000	2.884595	0.463569	-0.065482
84	42000000	42500000	2.682379	0.124034	0.220286
85	42500000	43000000	2.446931	-0.027021	0.437873
86	43000000	43500000	2.211317	-0.322739	0.661637
87	43500000	44000000	2.068789	-0.626645	0.884190
88	44000000	44500000	1.928643	-0.936135	1.208321
89	44500000	45000000	1.840908	-1.297353	1.374170
90	45000000	45500000	1.630213	-1.499954	1.465313
91	45500000	46000000	1.414541	-1.726316	1.547975
92	46000000	46500000	1.084569	-2.029532	1.638840
93	46500000	47000000	0.821468	-2.239034	1.661667
94	47000000	47500000	0.507648	-2.474811	1.665966
95	47500000	48000000	0.112201	-2.701705	1.718434
96	48000000	48500000	-0.134157	-2.702883	1.776110
97	48500000	49000000	-0.037137	-2.831829	1.634765
98	49000000	49500000	0.215498	-2.817634	1.354744
99	49500000	50000000	0.298739	-2.746918	1.245939
100	50000000	50500000	0.405777	-2.735140	1.128724
101	50500000	51000000	0.567297	-2.574790	1.025874
