# Chromosome: chr17, Resolution: 500000bp
# Generated: 2026-09-14 17:15:54
bin	start	end	x	y	z
0	0	500000	1.119407	-0.119150	3.441831
1	500000	1000000	0.986123	-0.255335	3.275448
2	1000000	1500000	0.945437	-0.195134	3.079420
3	1500000	2000000	0.931990	0.017294	2.891746
4	2000000	2500000	0.677203	-0.193515	2.652672
5	2500000	3000000	0.568810	-0.339137	2.663001
6	3000000	3500000	0.432279	-0.258882	2.502267
7	3500000	4000000	0.381241	-0.179467	2.358773
8	4000000	4500000	0.405130	0.065375	2.200059
9	4500000	5000000	0.397763	0.205929	2.115770
10	5000000	5500000	0.328713	0.083808	2.079050
11	5500000	6000000	0.285112	0.093371	2.066406
12	6000000	6500000	0.256495	0.146805	2.044369
13	6500000	7000000	0.214921	0.270966	1.936688
14	7000000	7500000	0.166379	0.449829	1.842964
15	7500000	8000000	0.087537	0.516830	1.775994
16	8000000	8500000	-0.003122	0.619333	1.633401
17	8500000	9000000	-0.034157	0.790150	1.464222
18	9000000	9500000	0.003473	1.113131	1.129711
19	9500000	10000000	0.110623	1.606504	0.797143
20	10000000	10500000	0.195293	2.000724	0.504823
21	10500000	11000000	0.232562	2.230693	0.319154
22	11000000	11500000	0.204243	2.417025	0.211182
23	11500000	12000000	0.217697	2.603216	0.130576
24	12000000	12500000	0.236968	2.833447	0.111524
25	12500000	13000000	0.237433	2.917061	0.074017
26	13000000	13500000	0.160642	2.932853	0.002756
27	13500000	14000000	0.096688	2.914698	0.028790
28	14000000	14500000	-0.006955	2.930752	0.100719
29	14500000	15000000	-0.070625	2.702498	0.207722
30	15000000	15500000	-0.189237	2.523759	0.437425
31	15500000	16000000	-0.360008	2.201578	0.626703
32	16000000	16500000	-0.532235	1.928430	0.912569
33	16500000	17000000	-0.705670	1.559521	1.275284
34	17000000	17500000	-0.882261	1.359677	1.636961
35	17500000	18000000	-0.997490	1.207001	1.796792
36	18000000	18500000	-1.069961	1.256007	1.759134
37	18500000	19000000	-1.141675	1.296780	1.663902
38	19000000	19500000	-1.174118	1.507302	1.522748
39	19500000	20000000	-1.115458	1.677585	1.283921
40	20000000	20500000	-0.941989	2.137808	0.954705
41	20500000	21000000	-0.746548	2.475259	0.500686
42	21000000	21500000	-0.376048	2.844906	0.121637
43	21500000	22000000	0.488469	3.070274	-0.023227
44	22000000	22500000	1.447299	3.023348	-0.199985
45	22500000	23000000	2.432842	2.737857	-0.365404
46	23000000	23500000	3.320647	2.334969	-0.591742
47	23500000	24000000	4.058146	1.593883	-0.894816
48	24000000	24500000	4.770068	0.945961	-1.241484
49	24500000	25000000	5.300510	0.508874	-1.546756
50	25000000	25500000	4.848082	0.643933	-1.710131
51	25500000	26000000	3.920196	0.638569	-1.698001
52	26000000	26500000	2.970509	0.740961	-1.574738
53	26500000	27000000	2.035823	0.930789	-1.305975
54	27000000	27500000	1.109278	1.052464	-0.773512
55	27500000	28000000	0.159855	1.082768	-0.154417
56	28000000	28500000	-0.837756	0.839317	0.442242
57	28500000	29000000	-1.400599	0.179476	0.816732
58	29000000	29500000	-1.594778	-0.200426	1.073408
59	29500000	30000000	-1.786498	-0.450228	1.186004
60	30000000	30500000	-1.975993	-0.548130	1.265623
61	30500000	31000000	-2.134312	-0.494307	1.183356
62	31000000	31500000	-2.228182	-0.369881	1.025072
63	31500000	32000000	-2.208965	-0.126853	0.800029
64	32000000	32500000	-2.186074	0.156955	0.589024
65	32500000	33000000	-2.157748	0.427241	0.358612
66	33000000	33500000	-2.126503	0.626422	0.216622
67	33500000	34000000	-2.057371	0.693166	0.170207
68	34000000	34500000	-2.120865	0.731714	0.259496
69	34500000	35000000	-1.200739	1.052641	0.668485
70	35000000	35500000	-0.268228	1.164257	1.083469
71	35500000	36000000	0.759688	1.084629	1.431676
72	36000000	36500000	1.776685	0.801332	1.768327
73	36500000	37000000	2.759227	0.417697	2.140030
74	37000000	37500000	2.765992	0.013655	2.403950
75	37500000	38000000	2.969826	-0.236808	2.441254
76	38000000	38500000	2.156094	-0.878290	2.210726
77	38500000	39000000	1.260480	-1.409249	1.999387
78	39000000	39500000	0.155979	-1.640567	1.744371
