# Chromosome: chr2, Resolution: 500000bp
# Generated: 2026-07-31 11:25:51
bin	start	end	x	y	z
0	0	500000	2.711427	-1.558880	-2.861840
1	500000	1000000	2.691844	-1.569375	-2.907033
2	1000000	1500000	2.574827	-1.627020	-2.875403
3	1500000	2000000	2.480414	-1.593277	-2.996407
4	2000000	2500000	2.344478	-1.576974	-3.120640
5	2500000	3000000	2.459484	-1.572364	-3.051660
6	3000000	3500000	2.445398	-1.681351	-2.908790
7	3500000	4000000	2.487644	-1.726877	-2.854977
8	4000000	4500000	2.530398	-1.760312	-2.781359
9	4500000	5000000	2.441369	-1.761667	-2.833012
10	5000000	5500000	2.346473	-1.840469	-2.779013
11	5500000	6000000	2.142070	-1.854796	-2.749358
12	6000000	6500000	1.659690	-1.897896	-2.883811
13	6500000	7000000	1.081775	-1.886502	-3.016053
14	7000000	7500000	0.533347	-1.910248	-3.157191
15	7500000	8000000	-0.054671	-1.928844	-3.219796
16	8000000	8500000	-0.508288	-1.879615	-3.198838
17	8500000	9000000	-0.920874	-1.865384	-3.189372
18	9000000	9500000	-1.126087	-1.853132	-3.226701
19	9500000	10000000	-1.249213	-1.829257	-3.253912
20	10000000	10500000	-1.215663	-1.843665	-3.232953
21	10500000	11000000	-1.108955	-1.833393	-3.221976
22	11000000	11500000	-0.902767	-1.863132	-3.207663
23	11500000	12000000	-0.580808	-1.889112	-3.342988
24	12000000	12500000	-0.274245	-1.859197	-3.358174
25	12500000	13000000	0.007999	-1.841388	-3.414888
26	13000000	13500000	0.245076	-1.944221	-3.358179
27	13500000	14000000	0.424410	-2.004036	-3.368375
28	14000000	14500000	0.506929	-2.098308	-3.267412
29	14500000	15000000	0.651042	-2.185250	-3.249149
30	15000000	15500000	0.737044	-2.301128	-3.099508
31	15500000	16000000	0.852137	-2.456585	-2.973100
32	16000000	16500000	0.909660	-2.654421	-2.807120
33	16500000	17000000	1.062412	-2.668792	-2.696400
34	17000000	17500000	1.221466	-2.731208	-2.585968
35	17500000	18000000	1.415232	-2.719435	-2.495067
36	18000000	18500000	1.372463	-2.730923	-2.396462
37	18500000	19000000	1.205877	-2.766896	-2.309984
38	19000000	19500000	1.041569	-2.722161	-2.261921
39	19500000	20000000	1.241475	-2.691521	-2.138513
40	20000000	20500000	1.465994	-2.662545	-2.062129
41	20500000	21000000	1.631167	-2.645034	-2.005466
42	21000000	21500000	1.630371	-2.710477	-1.989856
43	21500000	22000000	1.517061	-2.736229	-1.990428
44	22000000	22500000	1.328680	-2.710448	-2.098297
45	22500000	23000000	0.947280	-2.655387	-2.148699
46	23000000	23500000	0.177668	-2.512452	-2.230306
47	23500000	24000000	-0.768456	-2.422802	-2.224783
48	24000000	24500000	-1.670270	-2.260702	-2.164826
49	24500000	25000000	-2.444607	-2.051428	-2.175465
50	25000000	25500000	-2.993753	-1.820747	-2.071947
51	25500000	26000000	-3.265930	-1.692687	-1.948735
52	26000000	26500000	-3.345529	-1.684480	-1.870442
53	26500000	27000000	-3.308589	-1.697860	-1.758021
54	27000000	27500000	-3.185977	-1.727260	-1.769784
55	27500000	28000000	-3.003352	-1.804898	-1.880601
56	28000000	28500000	-2.800333	-1.900370	-1.932663
57	28500000	29000000	-2.537926	-2.045915	-2.041765
58	29000000	29500000	-2.298217	-2.164061	-2.079627
59	29500000	30000000	-2.019083	-2.238749	-2.070712
60	30000000	30500000	-1.831358	-2.449229	-2.179417
61	30500000	31000000	-1.798618	-2.582220	-2.261797
62	31000000	31500000	-1.555798	-2.797249	-2.256911
63	31500000	32000000	-1.223535	-2.967561	-2.152139
64	32000000	32500000	-0.898664	-3.135146	-2.049235
65	32500000	33000000	-0.477560	-3.196805	-1.898524
66	33000000	33500000	0.145623	-3.185949	-1.771378
67	33500000	34000000	0.658598	-3.155175	-1.540453
68	34000000	34500000	1.255970	-3.177043	-1.359513
69	34500000	35000000	1.529136	-3.235421	-1.266906
70	35000000	35500000	1.493674	-3.272125	-1.215711
71	35500000	36000000	1.158708	-3.235388	-1.250750
72	36000000	36500000	0.729146	-3.273709	-1.259741
73	36500000	37000000	-0.034852	-3.401802	-1.339164
74	37000000	37500000	-0.563943	-3.433655	-1.444734
75	37500000	38000000	-0.973403	-3.543144	-1.524816
76	38000000	38500000	-1.091427	-3.497198	-1.477093
77	38500000	39000000	-0.913891	-3.508145	-1.448565
78	39000000	39500000	-0.333792	-3.564394	-1.338783
79	39500000	40000000	0.075488	-3.558157	-1.264797
80	40000000	40500000	0.430700	-3.496284	-1.156413
81	40500000	41000000	0.476195	-3.460734	-1.099289
82	41000000	41500000	0.353199	-3.239057	-1.004609
83	41500000	42000000	-0.171825	-3.068229	-0.956012
84	42000000	42500000	-0.741474	-2.889994	-0.948263
85	42500000	43000000	-1.511939	-2.670882	-0.926409
86	43000000	43500000	-2.117619	-2.604255	-0.938240
87	43500000	44000000	-2.542179	-2.551558	-0.931815
88	44000000	44500000	-2.697326	-2.444477	-0.871785
89	44500000	45000000	-2.757515	-2.477541	-0.812294
90	45000000	45500000	-2.612492	-2.528064	-0.797403
91	45500000	46000000	-2.488201	-2.588569	-0.766256
92	46000000	46500000	-2.283956	-2.782913	-0.760176
93	46500000	47000000	-1.998836	-2.906097	-0.724077
94	47000000	47500000	-1.488823	-2.993947	-0.664564
95	47500000	48000000	-0.981195	-3.123033	-0.577487
96	48000000	48500000	-0.330819	-3.221191	-0.480466
97	48500000	49000000	0.196081	-3.292540	-0.417908
98	49000000	49500000	0.845545	-3.299166	-0.287482
99	49500000	50000000	1.511911	-3.210794	-0.186208
100	50000000	50500000	2.109656	-3.123938	-0.087396
101	50500000	51000000	2.419817	-3.067556	-0.022253
102	51000000	51500000	2.732665	-2.984480	0.026844
103	51500000	52000000	2.732962	-2.972227	0.068829
104	52000000	52500000	2.513908	-2.967946	0.090213
105	52500000	53000000	2.122333	-3.117722	0.089531
106	53000000	53500000	1.643051	-3.232199	0.080094
107	53500000	54000000	1.074366	-3.253710	0.053304
108	54000000	54500000	0.699729	-3.366803	0.065674
