# Chromosome: chr9, Resolution: 500000bp
# Generated: 2026-09-24 10:31:17
bin	start	end	x	y	z
0	0	500000	2.088620	2.815528	0.341113
1	500000	1000000	2.014833	2.899103	0.359196
2	1000000	1500000	1.954384	2.958659	0.291527
3	1500000	2000000	1.864129	3.092786	0.404673
4	2000000	2500000	1.639858	3.236269	0.431537
5	2500000	3000000	1.595136	3.374238	0.469581
6	3000000	3500000	1.642073	3.480325	0.736222
7	3500000	4000000	1.635690	3.511331	0.857820
8	4000000	4500000	1.756825	3.500755	1.013751
9	4500000	5000000	1.843144	3.528194	1.219718
10	5000000	5500000	1.937168	3.462405	1.242826
11	5500000	6000000	1.943009	3.497959	1.123836
12	6000000	6500000	1.981047	3.571985	0.915018
13	6500000	7000000	1.872428	3.653917	0.443344
14	7000000	7500000	1.791005	3.779045	0.010981
15	7500000	8000000	1.642054	3.895539	-0.465466
16	8000000	8500000	1.548758	3.988063	-0.872534
17	8500000	9000000	1.378645	4.102633	-1.335356
18	9000000	9500000	1.203540	4.105590	-1.696985
19	9500000	10000000	0.983453	4.141603	-1.872146
20	10000000	10500000	0.736813	4.169268	-1.994269
21	10500000	11000000	0.592668	4.197100	-2.060048
22	11000000	11500000	0.387910	4.251844	-2.004823
23	11500000	12000000	0.154921	4.318970	-1.973522
24	12000000	12500000	0.021885	4.338388	-1.872827
25	12500000	13000000	0.021429	4.396957	-1.625978
26	13000000	13500000	0.021620	4.365858	-1.384535
27	13500000	14000000	0.076789	4.318007	-1.047500
28	14000000	14500000	0.035631	4.264873	-0.770888
29	14500000	15000000	-0.110678	4.168792	-0.630469
30	15000000	15500000	-0.224936	4.139293	-0.501075
31	15500000	16000000	-0.325638	4.200595	-0.506300
32	16000000	16500000	-0.477577	4.198519	-0.525205
33	16500000	17000000	-0.659604	4.174870	-0.590113
34	17000000	17500000	-0.874199	4.161304	-0.638683
35	17500000	18000000	-0.867019	4.131975	-0.478802
36	18000000	18500000	-0.838297	4.211162	-0.415824
37	18500000	19000000	-0.786223	4.160141	-0.263742
38	19000000	19500000	-0.611250	4.047140	0.135696
39	19500000	20000000	-0.474410	4.009578	0.369782
40	20000000	20500000	-0.415722	4.001139	0.495485
41	20500000	21000000	-0.381392	4.003829	0.375505
42	21000000	21500000	-0.683779	3.991184	-0.066167
43	21500000	22000000	-0.855873	3.916226	-0.388048
44	22000000	22500000	-1.056770	3.806016	-0.776895
45	22500000	23000000	-1.383283	3.786403	-1.279860
46	23000000	23500000	-1.614649	3.724835	-1.766434
47	23500000	24000000	-1.743946	3.663892	-2.129623
48	24000000	24500000	-1.818786	3.628973	-2.276142
49	24500000	25000000	-1.710673	3.605483	-2.304001
50	25000000	25500000	-1.548568	3.482032	-2.114046
51	25500000	26000000	-1.297826	3.449325	-1.938635
52	26000000	26500000	-1.050796	3.300780	-1.880913
53	26500000	27000000	-0.896412	3.183041	-1.856135
54	27000000	27500000	-0.739258	3.126013	-1.879607
55	27500000	28000000	-0.580059	3.016007	-1.943617
56	28000000	28500000	-0.403295	2.904508	-2.054934
57	28500000	29000000	-0.232926	2.925414	-2.340343
58	29000000	29500000	-0.077523	2.937605	-2.643218
59	29500000	30000000	0.043000	2.917005	-2.769557
60	30000000	30500000	0.167840	2.911406	-2.766304
61	30500000	31000000	0.330928	2.842027	-2.626547
62	31000000	31500000	0.520825	2.813948	-2.316599
63	31500000	32000000	0.694751	2.774222	-1.658747
64	32000000	32500000	0.976360	2.654767	-0.959611
65	32500000	33000000	1.180251	2.474801	-0.293724
