# Chromosome: chr12, Resolution: 500000bp
# Generated: 2026-08-26 10:17:48
bin	start	end	x	y	z
0	0	500000	-2.981061	1.454512	-2.561943
1	500000	1000000	-3.022228	1.517381	-2.444111
2	1000000	1500000	-3.009064	1.543886	-2.329401
3	1500000	2000000	-2.993625	1.563177	-2.180686
4	2000000	2500000	-2.956022	1.330006	-2.166086
5	2500000	3000000	-3.034839	1.346992	-2.089532
6	3000000	3500000	-3.128165	1.332885	-1.980326
7	3500000	4000000	-3.094281	1.310468	-1.811974
8	4000000	4500000	-3.047497	1.278065	-1.693667
9	4500000	5000000	-3.081124	1.059128	-1.772534
10	5000000	5500000	-3.117144	0.748865	-2.020105
11	5500000	6000000	-3.205485	0.517503	-2.054976
12	6000000	6500000	-3.201579	0.374254	-1.940093
13	6500000	7000000	-3.278606	0.265530	-2.010396
14	7000000	7500000	-3.429909	0.098964	-2.053584
15	7500000	8000000	-3.546657	-0.049639	-2.031972
16	8000000	8500000	-3.602730	-0.036271	-1.859316
17	8500000	9000000	-3.682518	-0.028051	-1.607711
18	9000000	9500000	-3.741104	0.408348	-1.224059
19	9500000	10000000	-3.847957	0.805256	-0.941252
20	10000000	10500000	-3.787868	0.913659	-0.695516
21	10500000	11000000	-3.813811	1.085090	-0.493826
22	11000000	11500000	-3.780448	1.032870	-0.434010
23	11500000	12000000	-3.820956	1.064869	-0.278441
24	12000000	12500000	-3.796982	1.275506	-0.032611
25	12500000	13000000	-3.752703	0.904821	-0.074494
26	13000000	13500000	-3.636897	0.481078	-0.051565
27	13500000	14000000	-3.662380	0.407640	0.201102
28	14000000	14500000	-3.598032	0.299996	0.459697
29	14500000	15000000	-3.581107	0.314913	0.791184
30	15000000	15500000	-3.534213	0.326049	1.067381
31	15500000	16000000	-3.478840	0.256179	1.404370
32	16000000	16500000	-3.417531	0.339657	1.758677
33	16500000	17000000	-3.371164	0.269181	2.050620
34	17000000	17500000	-3.275232	0.167544	2.320778
35	17500000	18000000	-3.171349	0.094414	2.508622
36	18000000	18500000	-3.217138	0.045960	2.573032
37	18500000	19000000	-3.188937	-0.069062	2.684496
38	19000000	19500000	-3.147717	-0.316545	2.712158
39	19500000	20000000	-3.055037	-0.575246	2.647942
40	20000000	20500000	-3.091277	-0.679343	2.623486
41	20500000	21000000	-3.070234	-0.789246	2.468691
42	21000000	21500000	-3.077691	-1.026360	2.292227
43	21500000	22000000	-3.031639	-1.270498	2.276517
44	22000000	22500000	-3.028802	-1.598796	2.122493
45	22500000	23000000	-3.099606	-1.685131	1.856544
46	23000000	23500000	-3.217903	-1.728524	1.615365
47	23500000	24000000	-3.212423	-1.752235	1.244632
48	24000000	24500000	-3.256002	-1.716092	1.142842
49	24500000	25000000	-3.266508	-1.713205	0.915414
50	25000000	25500000	-3.220980	-1.704625	0.495521
51	25500000	26000000	-3.123452	-1.533184	0.156155
52	26000000	26500000	-3.059184	-1.506871	0.069512
53	26500000	27000000	-3.025015	-1.629002	0.103789
54	27000000	27500000	-2.940490	-1.526172	0.398006
55	27500000	28000000	-3.027355	-1.553064	0.423798
56	28000000	28500000	-2.892494	-1.373110	0.781084
57	28500000	29000000	-2.764071	-1.155370	1.324743
58	29000000	29500000	-2.692082	-0.925684	1.806580
59	29500000	30000000	-2.693038	-0.506709	2.070575
60	30000000	30500000	-2.519230	-0.231416	2.017189
61	30500000	31000000	-2.536249	0.065204	1.999042
62	31000000	31500000	-2.265074	0.198679	2.122529
63	31500000	32000000	-2.193570	0.260505	2.351321
64	32000000	32500000	-2.157258	0.371416	2.512458
65	32500000	33000000	-2.125215	0.538203	2.720040
66	33000000	33500000	-2.012188	0.789687	2.888474
67	33500000	34000000	-2.024339	1.509630	3.172277
68	34000000	34500000	-1.921275	1.980680	3.282711
69	34500000	35000000	-1.852211	2.649904	3.414890
70	35000000	35500000	-1.731009	3.210610	3.390409
71	35500000	36000000	-1.603762	3.555442	3.411609
72	36000000	36500000	-1.446077	3.587672	3.500719
73	36500000	37000000	-1.285094	3.201625	3.631543
74	37000000	37500000	-1.132766	2.343745	3.697803
75	37500000	38000000	-0.989926	1.461996	3.766086
76	38000000	38500000	-1.044571	0.268295	3.454689
77	38500000	39000000	-1.118392	-0.636722	3.106942
