# Chromosome: chr14, Resolution: 500000bp
# Generated: 2026-07-31 11:30:13
bin	start	end	x	y	z
0	0	500000	-1.796912	4.302373	0.621410
1	500000	1000000	-1.766628	4.317469	0.320373
2	1000000	1500000	-1.799992	4.283374	0.049242
3	1500000	2000000	-1.893962	4.209342	-0.155864
4	2000000	2500000	-2.038637	4.104695	-0.538134
5	2500000	3000000	-2.236611	3.929361	-0.883590
6	3000000	3500000	-2.493769	3.668693	-1.158841
7	3500000	4000000	-2.817437	3.324536	-1.334595
8	4000000	4500000	-3.173059	2.926212	-1.381876
9	4500000	5000000	-3.431635	2.040482	-0.935043
10	5000000	5500000	-3.611230	1.145811	-0.519349
11	5500000	6000000	-3.755871	0.283253	-0.292777
12	6000000	6500000	-3.848075	-0.529353	-0.170962
13	6500000	7000000	-3.923727	-1.209650	-0.065299
14	7000000	7500000	-3.998225	-1.685740	0.046644
15	7500000	8000000	-4.050103	-1.884755	0.064691
16	8000000	8500000	-4.150165	-1.476781	-0.295979
17	8500000	9000000	-4.252822	-0.967869	-0.503356
18	9000000	9500000	-4.323997	-0.474201	-0.433621
19	9500000	10000000	-4.391378	-0.058002	-0.165439
20	10000000	10500000	-4.420013	0.202434	0.170298
21	10500000	11000000	-4.396738	0.239186	0.476253
22	11000000	11500000	-4.350389	-0.031561	0.790506
23	11500000	12000000	-4.197032	-0.614993	0.982776
24	12000000	12500000	-4.042072	-1.252237	1.027289
25	12500000	13000000	-3.968874	-1.050045	0.973057
26	13000000	13500000	-3.855232	-0.681570	0.852469
27	13500000	14000000	-3.704659	-0.178557	0.757295
28	14000000	14500000	-3.537358	0.406850	0.774078
29	14500000	15000000	-3.387769	1.029736	0.928405
30	15000000	15500000	-3.378479	1.804246	1.189918
31	15500000	16000000	-3.426872	2.517704	1.462657
32	16000000	16500000	-3.442771	2.371558	1.669488
33	16500000	17000000	-3.580685	1.932121	1.578462
34	17000000	17500000	-3.736193	1.366220	1.242349
35	17500000	18000000	-3.881906	0.734162	0.741555
36	18000000	18500000	-3.869321	0.124410	0.072288
37	18500000	19000000	-3.602996	-0.435940	-0.584198
38	19000000	19500000	-3.198161	-0.971508	-1.203505
39	19500000	20000000	-2.714442	-1.594017	-1.641413
40	20000000	20500000	-2.134425	-1.811801	-1.819169
41	20500000	21000000	-1.547597	-1.996710	-1.772115
42	21000000	21500000	-1.050257	-2.236438	-1.605164
43	21500000	22000000	-0.825425	-2.485550	-1.360475
44	22000000	22500000	-0.842739	-2.673997	-1.247296
45	22500000	23000000	-0.937225	-2.828106	-1.208697
46	23000000	23500000	-1.044380	-2.642672	-1.269369
47	23500000	24000000	-1.171051	-2.480114	-1.470542
48	24000000	24500000	-1.491786	-2.201018	-1.730435
49	24500000	25000000	-1.691122	-1.667050	-2.081070
50	25000000	25500000	-1.869377	-1.029933	-2.391180
51	25500000	26000000	-1.973770	-0.499868	-2.669724
52	26000000	26500000	-2.109367	0.010309	-2.892974
53	26500000	27000000	-2.151765	0.296711	-3.129825
54	27000000	27500000	-2.152157	0.399259	-3.268284
55	27500000	28000000	-2.074781	0.334643	-3.392527
56	28000000	28500000	-2.042329	0.191027	-3.477125
57	28500000	29000000	-1.872282	-0.136759	-3.536938
58	29000000	29500000	-1.551181	-0.528182	-3.434124
59	29500000	30000000	-1.149932	-0.987713	-3.330391
60	30000000	30500000	-0.879638	-1.203239	-3.182208
61	30500000	31000000	-0.633408	-1.505533	-3.067885
62	31000000	31500000	-0.285669	-1.544790	-3.039502
63	31500000	32000000	-0.036768	-1.680625	-3.050919
64	32000000	32500000	0.188409	-1.653490	-3.149070
65	32500000	33000000	0.171321	-1.629539	-3.219388
66	33000000	33500000	0.155420	-1.654549	-3.052857
67	33500000	34000000	0.147975	-1.846042	-2.901451
68	34000000	34500000	0.011800	-2.002694	-2.865078
69	34500000	35000000	0.046895	-2.072250	-2.838903
70	35000000	35500000	0.134026	-1.930092	-2.708943
71	35500000	36000000	0.057361	-1.676188	-2.620579
72	36000000	36500000	-0.048424	-1.150078	-2.673120
73	36500000	37000000	-0.084715	-0.572207	-2.970579
74	37000000	37500000	-0.064858	-0.099500	-3.275454
75	37500000	38000000	0.129410	0.274152	-3.225580
76	38000000	38500000	0.099272	0.562253	-3.176994
77	38500000	39000000	0.070578	0.795757	-3.277916
78	39000000	39500000	0.200650	0.888804	-3.240303
79	39500000	40000000	0.271325	1.041768	-3.155304
80	40000000	40500000	0.250435	1.222672	-3.079406
81	40500000	41000000	0.194710	1.392096	-3.051767
82	41000000	41500000	0.078839	1.832297	-3.172520
83	41500000	42000000	0.027405	2.185538	-3.140355
84	42000000	42500000	0.068689	2.314787	-3.021699
85	42500000	43000000	0.130602	2.490796	-2.978237
86	43000000	43500000	0.321673	2.366720	-3.023648
87	43500000	44000000	0.579497	2.173798	-3.005074
88	44000000	44500000	0.911629	2.100745	-2.956708
89	44500000	45000000	1.301515	1.962998	-2.887166
90	45000000	45500000	1.641388	1.752986	-2.925161
91	45500000	46000000	1.868444	1.559247	-2.893253
92	46000000	46500000	2.049571	1.288855	-2.838374
93	46500000	47000000	2.270619	1.086013	-2.879428
94	47000000	47500000	2.381225	0.948945	-2.902613
95	47500000	48000000	2.470617	0.810455	-2.856752
96	48000000	48500000	2.315038	0.133389	-2.707285
97	48500000	49000000	2.168469	-0.530949	-2.386780
98	49000000	49500000	2.138300	-1.046596	-2.226448
99	49500000	50000000	2.151822	-1.551371	-2.051032
100	50000000	50500000	2.067398	-1.949612	-1.733434
101	50500000	51000000	2.072361	-2.221299	-1.577907
102	51000000	51500000	1.919805	-2.799273	-1.373066
103	51500000	52000000	2.004332	-2.619597	-1.260448
104	52000000	52500000	2.177655	-2.477278	-1.401981
105	52500000	53000000	2.309701	-2.354281	-1.357443
106	53000000	53500000	2.324693	-2.376240	-1.176369
107	53500000	54000000	2.389802	-2.377396	-0.995840
108	54000000	54500000	2.538467	-2.396304	-0.755462
109	54500000	55000000	2.672904	-1.999781	-0.714379
110	55000000	55500000	2.773290	-1.785313	-0.755356
111	55500000	56000000	2.917983	-1.566320	-0.633220
112	56000000	56500000	3.003513	-1.398127	-0.699133
113	56500000	57000000	3.165094	-1.214901	-0.788256
114	57000000	57500000	3.312778	-1.053161	-0.816139
115	57500000	58000000	3.159453	-0.957343	-0.763915
116	58000000	58500000	3.227914	-0.887089	-0.636268
117	58500000	59000000	3.371837	-0.958501	-0.328122
118	59000000	59500000	3.403251	-0.987424	-0.107850
119	59500000	60000000	3.360300	-1.036697	0.228373
120	60000000	60500000	3.259072	-0.940299	0.383162
121	60500000	61000000	3.307998	-0.728604	0.320111
122	61000000	61500000	3.510515	-0.359869	0.215366
123	61500000	62000000	3.500423	-0.295674	0.132870
124	62000000	62500000	3.381804	-0.513403	0.242389
125	62500000	63000000	3.200424	-0.738640	0.432238
126	63000000	63500000	3.040030	-0.936198	0.583852
127	63500000	64000000	2.952257	-1.205826	0.769721
128	64000000	64500000	2.706644	-1.711312	1.075370
129	64500000	65000000	2.512178	-2.156931	1.522330
130	65000000	65500000	2.101956	-2.748863	1.692053
131	65500000	66000000	1.711787	-3.013130	1.596671
132	66000000	66500000	1.456294	-3.152767	1.569578
133	66500000	67000000	1.029219	-3.356725	1.545755
134	67000000	67500000	0.779695	-3.401447	1.527351
135	67500000	68000000	0.414135	-3.415994	1.566083
136	68000000	68500000	0.065385	-3.568118	1.471063
137	68500000	69000000	0.054598	-3.379034	1.648778
138	69000000	69500000	-0.014230	-3.158267	1.827270
139	69500000	70000000	-0.072213	-3.108164	1.918633
140	70000000	70500000	0.071522	-2.969301	2.059779
141	70500000	71000000	0.024465	-2.870531	2.160689
142	71000000	71500000	0.036507	-2.756716	2.270892
143	71500000	72000000	-0.149633	-2.733561	2.403141
144	72000000	72500000	-0.363347	-2.711257	2.523640
145	72500000	73000000	-0.310166	-2.633465	2.593694
146	73000000	73500000	-0.461370	-2.521321	2.759653
147	73500000	74000000	-0.500835	-2.391789	2.887437
148	74000000	74500000	-0.448263	-2.341275	3.028745
149	74500000	75000000	-0.242427	-2.208139	3.011591
